#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000011.1	66904	68136	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000123.1	368	1243	+	blaCTX-M-55_1	1-876/876	===============	0/0	100.00	100.00	resfinder	DQ810789	blaCTX-M-55	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000154.1	135	950	-	aph(3')-Ia_1	1-816/816	===============	0/0	100.00	100.00	resfinder	V00359	aph(3')-Ia	
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000162.1	3	863	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000199.1	456	1715	+	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.92	resfinder	M64556	cmlA1	Chloramphenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000199.1	1798	2599	+	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000199.1	4527	6446	-	tet(M)_8	1-1920/1920	===============	0/0	100.00	96.15	resfinder	X04388	tet(M)	Doxycycline;Tetracycline;Minocycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000200.1	937	2150	+	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000200.1	2751	4025	-	tet(A)_6	1-1275/1275	===============	0/0	100.00	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000200.1	5286	6122	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000200.1	6122	6925	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000201.1	4114	5319	+	tet(B)_2	1-1206/1206	===============	0/0	100.00	100.00	resfinder	AF326777	tet(B)	Doxycycline;Tetracycline;Minocycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000202.1	45	542	+	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000202.1	940	1741	+	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000202.1	2003	3262	+	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.92	resfinder	M64556	cmlA1	Chloramphenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000203.1	2050	2841	+	sul3_2	1-792/792	===============	0/0	100.00	99.87	resfinder	AJ459418	sul3	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000204.1	203	1015	+	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000205.1	1499	2293	+	aph(3')-IIa_2	1-795/795	===============	0/0	100.00	100.00	resfinder	V00618	aph(3')-IIa	
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000206.1	361	777	+	fosA3_1	1-417/417	===============	0/0	100.00	100.00	resfinder	AB522970	fosA3	Fosfomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000207.1	408	1283	+	blaCTX-M-55_1	1-876/876	===============	0/0	100.00	100.00	resfinder	DQ810789	blaCTX-M-55	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000208.1	109	1030	+	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000209.1	126	941	+	aph(3')-Ia_1	1-816/816	===============	0/0	100.00	100.00	resfinder	V00359	aph(3')-Ia	
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000210.1	104	964	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000211.1	19	834	+	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000212.1	19	834	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000213.1	34	779	+	blaTEM-141_1	116-861/861	..=============	0/0	86.64	99.87	resfinder	AY956335	blaTEM-141	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
