#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000006.1	155131	156363	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.81	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000067.1	1696	2556	-	aac(3)-IIa_1	1-861/861	===============	0/0	100.00	99.77	resfinder	X51534	aac(3)-IIa	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000070.1	578	1408	-	blaOXA-1_1	1-831/831	===============	0/0	100.00	100.00	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000070.1	1539	2138	-	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000072.1	116	976	-	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000101.1	942	1415	+	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000101.1	1546	2334	+	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000101.1	2854	3720	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000102.1	520	1335	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000102.1	1396	2199	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000102.1	2199	3035	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000102.1	4014	5260	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000103.1	109	1030	+	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000104.1	584	1459	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000105.1	86	685	+	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000105.1	816	1646	+	blaOXA-1_1	1-831/831	===============	0/0	100.00	100.00	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000106.1	96	956	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000107.1	12	872	+	aac(3)-IIa_1	1-861/861	===============	0/0	100.00	99.77	resfinder	X51534	aac(3)-IIa	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040455.1_PDT000954090.1_genomic.fna	DADHWU010000108.1	12	872	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
