Organism_group,Location,Isolation_source,Isolation_type,BioSample,Assembly,Collection_year
E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,GCA_012610075.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN13836668,GCA_012662725.1,2020
E.coli and Shigella,USA,chicken,environmental/other,SAMN13842338,GCA_012619505.1,2019
E.coli and Shigella,USA,beef,environmental/other,SAMN13852099,GCA_012662525.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN13852104,GCA_012662445.1,2019
E.coli and Shigella,China,Chicken,environmental/other,SAMN14119833,GCA_018295705.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393599,GCA_032537865.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393598,GCA_032537845.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393597,GCA_032537825.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393596,GCA_032537765.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393595,GCA_032537745.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393594,GCA_032537785.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393593,GCA_032537725.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393592,GCA_032537705.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393591,GCA_032537685.1,2019
E.coli and Shigella,Argentina,beef,environmental/other,SAMN42317992,GCA_040516485.1,2022
E.coli and Shigella,Argentina,beef,environmental/other,SAMN42318016,GCA_040516565.2,2022
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549799,GCA_041294785.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549797,GCA_041294815.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549800,GCA_041294825.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549798,GCA_041294835.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549801,GCA_041294885.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549803,GCA_041294905.1,2022
E.coli and Shigella,Argentina,beef,environmental/other,SAMN21210952,GCA_021504235.1,2020
E.coli and Shigella,Argentina,beef,environmental/other,SAMN21210946,GCA_021504385.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873295,GCA_020212745.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873294,GCA_020212685.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873293,GCA_020211525.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873292,GCA_020213485.1,2021
