sample_id,gene,product,drug_class,organism_group,location,isolation_source,isolation_type,bio_sample,collection_year,drug_class_group
GCA_012279675.1,blaCTX-M-15_1,blaCTX-M-15,Ampicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaCTX-M-15_1,blaCTX-M-15,Aztreonam,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaCTX-M-15_1,blaCTX-M-15,Cefepime,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaCTX-M-15_1,blaCTX-M-15,Cefotaxime,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaCTX-M-15_1,blaCTX-M-15,Ceftazidime,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaCTX-M-15_1,blaCTX-M-15,Ceftriaxone,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaCTX-M-15_1,blaCTX-M-15,Piperacillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaCTX-M-15_1,blaCTX-M-15,Ticarcillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaTEM-1B_1,blaTEM-1B,Amoxicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaTEM-1B_1,blaTEM-1B,Ampicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaTEM-1B_1,blaTEM-1B,Cephalothin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaTEM-1B_1,blaTEM-1B,Piperacillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,blaTEM-1B_1,blaTEM-1B,Ticarcillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
GCA_012279675.1,aph(6)-Id_1,aph(6)-Id,Streptomycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Other
GCA_012279675.1,aph(3'')-Ib_5,aph(3'')-Ib,Streptomycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Other
GCA_012279675.1,sul2_2,sul2,Sulfamethoxazole,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Other
GCA_012279675.1,dfrA14_5,dfrA14,Trimethoprim,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Other
GCA_012279675.1,aac(3)-IId_1,aac(3)-IId,Gentamicin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Other
GCA_012279675.1,aac(3)-IId_1,aac(3)-IId,Tobramycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Other
GCA_012279675.1,qnrS1_1,qnrS1,Ciprofloxacin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Fluoroquinolones
GCA_012280155.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Unclassified
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Amoxicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Amoxicillin+Clavulanic_acid,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Ampicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Ampicillin+Clavulanic_acid,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Cefotaxime,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Cefoxitin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Ceftazidime,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Piperacillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Piperacillin+Tazobactam,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Ticarcillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaDHA-1_1,blaDHA-1,Ticarcillin+Clavulanic_acid,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,qnrB4_1,qnrB4,Ciprofloxacin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Fluoroquinolones
GCA_012280155.1,sul1_5,sul1,Sulfamethoxazole,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Other
GCA_012280155.1,mph(A)_2,mph(A),Erythromycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Other
GCA_012280155.1,mph(A)_2,mph(A),Azithromycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Other
GCA_012280155.1,mph(A)_2,mph(A),Spiramycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Other
GCA_012280155.1,mph(A)_2,mph(A),Telithromycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Other
GCA_012280155.1,blaTEM-1B_1,blaTEM-1B,Amoxicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaTEM-1B_1,blaTEM-1B,Ampicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaTEM-1B_1,blaTEM-1B,Cephalothin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaTEM-1B_1,blaTEM-1B,Piperacillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,blaTEM-1B_1,blaTEM-1B,Ticarcillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Beta-lactams
GCA_012280155.1,dfrA17_1,dfrA17,Trimethoprim,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Other
GCA_012280155.1,dfrA7_5,dfrA7,Trimethoprim,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,2018,Other
GCA_012449745.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,chicken,environmental/other,SAMN13051405,2019,Unclassified
GCA_012471415.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,chicken,environmental/other,SAMN13041521,2019,Unclassified
GCA_012610075.1,blaTEM-1B_1,blaTEM-1B,Amoxicillin,E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,2019,Beta-lactams
GCA_012610075.1,blaTEM-1B_1,blaTEM-1B,Ampicillin,E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,2019,Beta-lactams
GCA_012610075.1,blaTEM-1B_1,blaTEM-1B,Cephalothin,E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,2019,Beta-lactams
GCA_012610075.1,blaTEM-1B_1,blaTEM-1B,Piperacillin,E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,2019,Beta-lactams
GCA_012610075.1,blaTEM-1B_1,blaTEM-1B,Ticarcillin,E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,2019,Beta-lactams
GCA_012610075.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,2019,Unclassified
GCA_012610075.1,tet(A)_6,tet(A),Doxycycline,E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,2019,Tetracyclines
GCA_012610075.1,tet(A)_6,tet(A),Tetracycline,E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,2019,Tetracyclines
GCA_012610305.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,beef,environmental/other,SAMN13446260,2019,Unclassified
GCA_012610305.1,tet(A)_6,tet(A),Doxycycline,E.coli and Shigella,USA,beef,environmental/other,SAMN13446260,2019,Tetracyclines
GCA_012610305.1,tet(A)_6,tet(A),Tetracycline,E.coli and Shigella,USA,beef,environmental/other,SAMN13446260,2019,Tetracyclines
GCA_012613905.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,chicken,environmental/other,SAMN13320519,2019,Unclassified
GCA_012614385.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,chicken,environmental/other,SAMN13320506,2019,Unclassified
GCA_012614385.1,tet(B)_2,tet(B),Doxycycline,E.coli and Shigella,USA,chicken,environmental/other,SAMN13320506,2019,Tetracyclines
GCA_012614385.1,tet(B)_2,tet(B),Tetracycline,E.coli and Shigella,USA,chicken,environmental/other,SAMN13320506,2019,Tetracyclines
GCA_012614385.1,tet(B)_2,tet(B),Minocycline,E.coli and Shigella,USA,chicken,environmental/other,SAMN13320506,2019,Other
GCA_012619505.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,chicken,environmental/other,SAMN13842338,2019,Unclassified
GCA_012662445.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,chicken,environmental/other,SAMN13852104,2019,Unclassified
GCA_012662525.1,catA1_1,catA1,Chloramphenicol,E.coli and Shigella,USA,beef,environmental/other,SAMN13852099,2019,Phenicols
GCA_012662525.1,tet(A)_6,tet(A),Doxycycline,E.coli and Shigella,USA,beef,environmental/other,SAMN13852099,2019,Tetracyclines
GCA_012662525.1,tet(A)_6,tet(A),Tetracycline,E.coli and Shigella,USA,beef,environmental/other,SAMN13852099,2019,Tetracyclines
GCA_012662525.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,beef,environmental/other,SAMN13852099,2019,Unclassified
GCA_012662725.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,chicken,environmental/other,SAMN13836668,2020,Unclassified
GCA_012662725.1,sul1_5,sul1,Sulfamethoxazole,E.coli and Shigella,USA,chicken,environmental/other,SAMN13836668,2020,Other
GCA_012662725.1,aac(3)-VIa_2,aac(3)-VIa,Gentamicin,E.coli and Shigella,USA,chicken,environmental/other,SAMN13836668,2020,Other
GCA_012662725.1,ant(3'')-Ia_1,ant(3'')-Ia,Streptomycin,E.coli and Shigella,USA,chicken,environmental/other,SAMN13836668,2020,Other
GCA_014431005.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207685,2018,Unclassified
GCA_017039905.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Unclassified
GCA_017039905.1,dfrA17_1,dfrA17,Trimethoprim,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Other
GCA_017039905.1,aadA5_1,aadA5,Streptomycin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Other
GCA_017039905.1,sul1_5,sul1,Sulfamethoxazole,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Other
GCA_017039905.1,mph(A)_2,mph(A),Erythromycin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Other
GCA_017039905.1,mph(A)_2,mph(A),Azithromycin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Other
GCA_017039905.1,mph(A)_2,mph(A),Spiramycin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Other
GCA_017039905.1,mph(A)_2,mph(A),Telithromycin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Other
GCA_017039905.1,blaCTX-M-15_1,blaCTX-M-15,Amoxicillin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaCTX-M-15_1,blaCTX-M-15,Ampicillin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaCTX-M-15_1,blaCTX-M-15,Aztreonam,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaCTX-M-15_1,blaCTX-M-15,Cefepime,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaCTX-M-15_1,blaCTX-M-15,Cefotaxime,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaCTX-M-15_1,blaCTX-M-15,Ceftazidime,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaCTX-M-15_1,blaCTX-M-15,Ceftriaxone,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaCTX-M-15_1,blaCTX-M-15,Piperacillin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaCTX-M-15_1,blaCTX-M-15,Ticarcillin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaOXA-1_1,blaOXA-1,Amoxicillin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaOXA-1_1,blaOXA-1,Amoxicillin+Clavulanic_acid,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaOXA-1_1,blaOXA-1,Ampicillin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaOXA-1_1,blaOXA-1,Ampicillin+Clavulanic_acid,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaOXA-1_1,blaOXA-1,Cefepime,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaOXA-1_1,blaOXA-1,Piperacillin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,blaOXA-1_1,blaOXA-1,Piperacillin+Tazobactam,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Beta-lactams
GCA_017039905.1,aac(6')-Ib-cr_1,aac(6')-Ib-cr,Ciprofloxacin,E.coli and Shigella,France,human,clinical,SAMEA7758211,2018,Fluoroquinolones
GCA_017040335.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Unclassified
GCA_017040335.1,blaCTX-M-14_1,blaCTX-M-14,Amoxicillin,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Beta-lactams
GCA_017040335.1,blaCTX-M-14_1,blaCTX-M-14,Ampicillin,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Beta-lactams
GCA_017040335.1,blaCTX-M-14_1,blaCTX-M-14,Aztreonam,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Beta-lactams
GCA_017040335.1,blaCTX-M-14_1,blaCTX-M-14,Cefepime,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Beta-lactams
GCA_017040335.1,blaCTX-M-14_1,blaCTX-M-14,Cefotaxime,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Beta-lactams
GCA_017040335.1,blaCTX-M-14_1,blaCTX-M-14,Ceftazidime,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Beta-lactams
GCA_017040335.1,blaCTX-M-14_1,blaCTX-M-14,Ceftriaxone,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Beta-lactams
GCA_017040335.1,blaCTX-M-14_1,blaCTX-M-14,Piperacillin,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Beta-lactams
GCA_017040335.1,blaCTX-M-14_1,blaCTX-M-14,Ticarcillin,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Beta-lactams
GCA_017040335.1,aadA5_1,aadA5,Streptomycin,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Other
GCA_017040335.1,dfrA17_1,dfrA17,Trimethoprim,E.coli and Shigella,France,human,clinical,SAMEA7758209,2018,Other
GCA_017040455.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Unclassified
GCA_017040455.1,dfrA17_1,dfrA17,Trimethoprim,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,aadA5_1,aadA5,Streptomycin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,sul1_5,sul1,Sulfamethoxazole,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,mph(A)_2,mph(A),Erythromycin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,mph(A)_2,mph(A),Azithromycin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,mph(A)_2,mph(A),Spiramycin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,mph(A)_2,mph(A),Telithromycin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,blaTEM-1B_1,blaTEM-1B,Amoxicillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaTEM-1B_1,blaTEM-1B,Ampicillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaTEM-1B_1,blaTEM-1B,Cephalothin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaTEM-1B_1,blaTEM-1B,Piperacillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaTEM-1B_1,blaTEM-1B,Ticarcillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,tet(A)_6,tet(A),Doxycycline,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Tetracyclines
GCA_017040455.1,tet(A)_6,tet(A),Tetracycline,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Tetracyclines
GCA_017040455.1,aph(6)-Id_1,aph(6)-Id,Streptomycin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,aph(3'')-Ib_5,aph(3'')-Ib,Streptomycin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,sul2_2,sul2,Sulfamethoxazole,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,blaCTX-M-15_1,blaCTX-M-15,Amoxicillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaCTX-M-15_1,blaCTX-M-15,Ampicillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaCTX-M-15_1,blaCTX-M-15,Aztreonam,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaCTX-M-15_1,blaCTX-M-15,Cefepime,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaCTX-M-15_1,blaCTX-M-15,Cefotaxime,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaCTX-M-15_1,blaCTX-M-15,Ceftazidime,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaCTX-M-15_1,blaCTX-M-15,Ceftriaxone,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaCTX-M-15_1,blaCTX-M-15,Piperacillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaCTX-M-15_1,blaCTX-M-15,Ticarcillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,aac(3)-IIa_1,aac(3)-IIa,Gentamicin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,aac(3)-IIa_1,aac(3)-IIa,Tobramycin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Other
GCA_017040455.1,blaOXA-1_1,blaOXA-1,Amoxicillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaOXA-1_1,blaOXA-1,Amoxicillin+Clavulanic_acid,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaOXA-1_1,blaOXA-1,Ampicillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaOXA-1_1,blaOXA-1,Ampicillin+Clavulanic_acid,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaOXA-1_1,blaOXA-1,Cefepime,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaOXA-1_1,blaOXA-1,Piperacillin,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
GCA_017040455.1,blaOXA-1_1,blaOXA-1,Piperacillin+Tazobactam,E.coli and Shigella,France,human,clinical,SAMEA7758207,2018,Beta-lactams
